Item,Subtype,Type
Dust of Dryness,Wonderous Items,Magic
Dust of Illusion,Wonderous Items,Magic
Dust of Tracelessness,Wonderous Items,Magic
Efficient Quiver,Wonderous Items,Magic
Efreeti Bottle,Wonderous Items,Magic
Elemental Gem (Air),Wonderous Items,Magic
Elemental Gem (Earth),Wonderous Items,Magic
Elemental Gem (Fire),Wonderous Items,Magic
Elemental Gem (Water),Wonderous Items,Magic
Elixir of Fire Breath,Wonderous Items,Magic
Elixir of Hiding,Wonderous Items,Magic
Elixir of Love,Wonderous Items,Magic
Elixir of Swimming,Wonderous Items,Magic
Elixir of Truth,Wonderous Items,Magic
Elixir of Tumbling,Wonderous Items,Magic
Elixir of Vision,Wonderous Items,Magic
Eversmoking Bottle,Wonderous Items,Magic
Eyes of Charming,Wonderous Items,Magic
Eyes of Doom,Wonderous Items,Magic
Eyes of the Eagle,Wonderous Items,Magic
Feather Token (Anchor),Wonderous Items,Magic
Feather Token (Bird),Wonderous Items,Magic
Feather Token (Fan),Wonderous Items,Magic
Feather Token (Swan Boat),Wonderous Items,Magic
Feather Token (Tree),Wonderous Items,Magic
Feather Token (Whip),Wonderous Items,Magic
Figurine of Wondrous Power (Bronze Griffon),Wonderous Items,Magic
Figurine of Wondrous Power (Ebony Fly),Wonderous Items,Magic
Figurine of Wondrous Power (Golden Lions),Wonderous Items,Magic
Figurine of Wondrous Power (Ivory Goats),Wonderous Items,Magic
Figurine of Wondrous Power (Marble Elephants),Wonderous Items,Magic
Figurine of Wondrous Power (Obsidian Steed),Wonderous Items,Magic
Figurine of Wondrous Power (Onyx Dog),Wonderous Items,Magic
Figurine of Wondrous Power (Serpentine Owl),Wonderous Items,Magic
Figurine of Wondrous Power (Silver Raven),Wonderous Items,Magic
Gauntlet of Rust,Wonderous Items,Magic
Gem of Brightness,Wonderous Items,Magic
Gem of Seeing,Wonderous Items,Magic
Gloves of Arrow Snaring,Wonderous Items,Magic
Glove of Storing,Wonderous Items,Magic
Gloves of Swimming and Climbing,Wonderous Items,Magic
Goggles of Minute Seeing,Wonderous Items,Magic
Goggles of Night,Wonderous Items,Magic
Golem Manual (Clay),Wonderous Items,Magic
Golem Manual (Flesh),Wonderous Items,Magic
Golem Manual (Iron),Wonderous Items,Magic
Golem Manual (Stone),Wonderous Items,Magic
Golem Manual (Stone Guardian),Wonderous Items,Magic
Hand of Glory,Wonderous Items,Magic
Hand of the Mage,Wonderous Items,Magic
Handy Haversack,Wonderous Items,Magic
Harp of Charming,Wonderous Items,Magic
Hat of Disguise,Wonderous Items,Magic
Headband of Alluring Charisma +2,Wonderous Items,Magic
Headband of Alluring Charisma +4,Wonderous Items,Magic
Headband of Alluring Charisma +6,Wonderous Items,Magic
Headband of Inspired Wisdom +2,Wonderous Items,Magic
Headband of Inspired Wisdom +4,Wonderous Items,Magic
Headband of Inspired Wisdom +6,Wonderous Items,Magic
"Headband of Mental Prowess +2 (Int, Wis)",Wonderous Items,Magic
"Headband of Mental Prowess +4 (Int, Wis)",Wonderous Items,Magic
"Headband of Mental Prowess +6 (Int, Wis)",Wonderous Items,Magic
"Headband of Mental Prowess +2 (Int, Cha)",Wonderous Items,Magic
"Headband of Mental Prowess +4 (Int, Cha)",Wonderous Items,Magic
"Headband of Mental Prowess +6 (Int, Cha)",Wonderous Items,Magic
"Headband of Mental Prowess +2 (Wis, Cha)",Wonderous Items,Magic
"Headband of Mental Prowess +4 (Wis, Cha)",Wonderous Items,Magic
"Headband of Mental Prowess +6 (Wis, Cha)",Wonderous Items,Magic
Headband of Mental Superiority +2,Wonderous Items,Magic
Headband of Mental Superiority +4,Wonderous Items,Magic
Headband of Mental Superiority +6,Wonderous Items,Magic
Headband of Vast Intelligence +2,Wonderous Items,Magic
Headband of Vast Intelligence +4,Wonderous Items,Magic
Headband of Vast Intelligence +6,Wonderous Items,Magic
Helm of Brilliance,Wonderous Items,Magic
Helm of Comprehend Languages and Read Magic,Wonderous Items,Magic
Helm of Telepathy,Wonderous Items,Magic
Helm of Teleportation,Wonderous Items,Magic
Helm of Underwater Action,Wonderous Items,Magic
Horn of Blasting,Wonderous Items,Magic
Greater Horn of Blasting,Wonderous Items,Magic
Horn of Fog,Wonderous Items,Magic
Horn of Goodness/Evil,Wonderous Items,Magic
Horn of Valhalla (Silver),Wonderous Items,Magic
Horn of Valhalla (Brass),Wonderous Items,Magic
Horn of Valhalla (Bronze),Wonderous Items,Magic
Horn of Valhalla (Iron),Wonderous Items,Magic
Horseshoes of Speed,Wonderous Items,Magic
Horseshoes of a Zephyr,Wonderous Items,Magic
Incense of Meditation,Wonderous Items,Magic
Instant Fortress,Wonderous Items,Magic
Clear Spindle Ioun Stone,Wonderous Items,Magic
Dusty rose Prism Ioun Stone,Wonderous Items,Magic
Deep red Sphere Ioun Stone,Wonderous Items,Magic
Incandescent blue Sphere Ioun Stone,Wonderous Items,Magic
Pale blue Rhomboid Ioun Stone,Wonderous Items,Magic
Pink Rhomboid Ioun Stone,Wonderous Items,Magic
Pink and green Sphere Ioun Stone,Wonderous Items,Magic
Scarlet and blue Sphere Ioun Stone,Wonderous Items,Magic
Dark blue Rhomboid Ioun Stone,Wonderous Items,Magic
Iridescent Spindle Ioun Stone,Wonderous Items,Magic
Pale lavender Ellipsoid Ioun Stone,Wonderous Items,Magic
Pearly white Spindle Ioun Stone,Wonderous Items,Magic
Pale green Prism Ioun Stone,Wonderous Items,Magic
Orange Prism Ioun Stone,Wonderous Items,Magic
Vibrant purple Prism Ioun Stone,Wonderous Items,Magic
Lavender and green Ellipsoid Ioun Stone,Wonderous Items,Magic
Iron Bands of Binding,Wonderous Items,Magic
Iron Flask,Wonderous Items,Magic
Lantern of Revealing,Wonderous Items,Magic
Lens of Detection,Wonderous Items,Magic
Lyre of Building,Wonderous Items,Magic
Mantle of Faith,Wonderous Items,Magic
Mantle of Spell Resistance,Wonderous Items,Magic
Manual of Bodily Health +1,Wonderous Items,Magic
Manual of Bodily Health +2,Wonderous Items,Magic
Manual of Bodily Health +3,Wonderous Items,Magic
Manual of Bodily Health +4,Wonderous Items,Magic
Manual of Bodily Health +5,Wonderous Items,Magic
Manual of Gainful Exercise +1,Wonderous Items,Magic
Manual of Gainful Exercise +2,Wonderous Items,Magic
Manual of Gainful Exercise +3,Wonderous Items,Magic
Manual of Gainful Exercise +4,Wonderous Items,Magic
Manual of Gainful Exercise +5,Wonderous Items,Magic
Manual of Quickness of Action +1,Wonderous Items,Magic
Manual of Quickness of Action +2,Wonderous Items,Magic
Manual of Quickness of Action +3,Wonderous Items,Magic
Manual of Quickness of Action +4,Wonderous Items,Magic
Manual of Quickness of Action +5,Wonderous Items,Magic
Marvelous Pigments,Wonderous Items,Magic
Mask of the Skull,Wonderous Items,Magic
Medallion of Thoughts,Wonderous Items,Magic
Mirror of Life Trapping,Wonderous Items,Magic
Mirror of Opposition,Wonderous Items,Magic
Necklace of Adaptation,Wonderous Items,Magic
Necklace of Fireballs (Type I),Wonderous Items,Magic
Necklace of Fireballs (Type II),Wonderous Items,Magic
Necklace of Fireballs (Type III),Wonderous Items,Magic
Necklace of Fireballs (Type IV),Wonderous Items,Magic
Necklace of Fireballs (Type V),Wonderous Items,Magic
Necklace of Fireballs (Type VI),Wonderous Items,Magic
Necklace of Fireballs (Type VII),Wonderous Items,Magic
Orb of Storms,Wonderous Items,Magic
Pearl of Power (1st),Wonderous Items,Magic
Pearl of Power (2nd),Wonderous Items,Magic
Pearl of Power (3rd),Wonderous Items,Magic
Pearl of Power (4th),Wonderous Items,Magic
Pearl of Power (5th),Wonderous Items,Magic
Pearl of Power (6th),Wonderous Items,Magic
Pearl of Power (7th),Wonderous Items,Magic
Pearl of Power (8th),Wonderous Items,Magic
Pearl of Power (9th),Wonderous Items,Magic
Pearl of Power (two spells),Wonderous Items,Magic
Pearl of the Sirines,Wonderous Items,Magic
Periapt of Health,Wonderous Items,Magic
Periapt of Proof Against Poison,Wonderous Items,Magic
Periapt of Wound Closure,Wonderous Items,Magic
Phylactery of Faithfulness,Wonderous Items,Magic
Phylactery of Negative Channeling,Wonderous Items,Magic
Phylactery of Positive Channeling,Wonderous Items,Magic
Pipes of Haunting,Wonderous Items,Magic
Pipes of the Sewers,Wonderous Items,Magic
Pipes of Sounding,Wonderous Items,Magic
Portable Hole,Wonderous Items,Magic
Restorative Ointment,Wonderous Items,Magic
Ring Gates,Wonderous Items,Magic
White Robe of the Archmagi,Wonderous Items,Magic
Grey Robe of the Archmagi,Wonderous Items,Magic
Black Robe of the Archmagi,Wonderous Items,Magic
Robe of Bones,Wonderous Items,Magic
Robe of Blending,Wonderous Items,Magic
Robe of Eyes,Wonderous Items,Magic
Monk's Robe,Wonderous Items,Magic
Robe of Scintillating Colors,Wonderous Items,Magic
Robe of Stars,Wonderous Items,Magic
Robe of Useful Items,Wonderous Items,Magic
Rope of Climbing,Wonderous Items,Magic
Rope of Entanglement,Wonderous Items,Magic
Salve of Slipperiness,Wonderous Items,Magic
Scabbard of Keen Edges,Wonderous Items,Magic
Scarab of Protection,Wonderous Items,Magic
Golembane Scarab,Wonderous Items,Magic
Silversheen,Wonderous Items,Magic
Slippers of Spider Climbing,Wonderous Items,Magic
Ounce of Sovereign Glue,Wonderous Items,Magic
Flask of Sovereign Glue,Wonderous Items,Magic
Stone of Alarm,Wonderous Items,Magic
Stone of Good Luck,Wonderous Items,Magic
Stone Salve,Wonderous Items,Magic
Lesser Strand of Prayer Beads,Wonderous Items,Magic
Strand of Prayer Beads,Wonderous Items,Magic
Greater Strand of Prayer Beads,Wonderous Items,Magic
Sustaining Spoon,Wonderous Items,Magic
Tome of Clear Thought +1,Wonderous Items,Magic
Tome of Clear Thought +2,Wonderous Items,Magic
Tome of Clear Thought +3,Wonderous Items,Magic
Tome of Clear Thought +4,Wonderous Items,Magic
Tome of Clear Thought +5,Wonderous Items,Magic
Tome of Leadership and Influence +1,Wonderous Items,Magic
Tome of Leadership and Influence +2,Wonderous Items,Magic
Tome of Leadership and Influence +3,Wonderous Items,Magic
Tome of Leadership and Influence +4,Wonderous Items,Magic
Tome of Leadership and Influence +5,Wonderous Items,Magic
Tome of Understanding +1,Wonderous Items,Magic
Tome of Understanding +2,Wonderous Items,Magic
Tome of Understanding +3,Wonderous Items,Magic
Tome of Understanding +4,Wonderous Items,Magic
Tome of Understanding +5,Wonderous Items,Magic
Unguent of Timelessness,Wonderous Items,Magic
Universal Solvent,Wonderous Items,Magic
Vest of Escape,Wonderous Items,Magic
Druid's Vestment,Wonderous Items,Magic
Well of Many Worlds,Wonderous Items,Magic
Wind Fan,Wonderous Items,Magic
Wings of Flying,Wonderous Items,Magic
